vessel_identity,section_title,subsection,item_label,value,details,canvas_fragment,image
Razee Sloop,Watch-bill,Idlers - Petty Officers,ordy Sergt of Marines,1,Idler,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Constellation,Armaments,General,10-in gun,2,"87 cwt, 12000 lbs",,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Constellation,Armaments,General,8-in gun,16,63 cwt,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Constellation,Armaments,General,32-pdr,4,57 cwt,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Macedonian,Armaments,General,X-in gun,2,12000 lbs,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Macedonian,Armaments,General,8-in gun,16,63 cwt,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Macedonian,Armaments,General,32-pdr,4,57 cwt,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Cumberland,Armaments,General,X-in gun,2,12000 lbs,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Cumberland,Armaments,General,8-in gun,6,63 cwt,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Cumberland,Armaments,General,32-pdr,16,57 cwt,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Savannah,Armaments,General,X-in gun,2,12000 lbs,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Savannah,Armaments,General,8-in gun,8,63 cwt,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Savannah,Armaments,General,32-pdr,14,57 cwt,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Brooklyn,Armaments,General,X-in gun,2,12000 lbs,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Brooklyn,Armaments,General,IX-in gun,16,9000 lbs,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
San Jacinto,Armaments,General,8-in gun,10,55 cwt,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
San Jacinto,Armaments,General,32-pdr,2,57 cwt,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
San Jacinto,Armaments,General,64-pdr,1,107 cwt,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Saranac,Armaments,General,64-pdr,2,106 cwt,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Saranac,Armaments,General,8-in gun,4,55 cwt,,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Razee Sloop,Manning of Guns,General,XI-inch gun,24 men,"16000 lbs, 1 Powder Man",,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Razee Sloop,Manning of Guns,General,X-inch gun,20 men,"12000 lbs, 1 Powder Man",,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Razee Sloop,Manning of Guns,General,IX-inch gun,16 men,"9000 lbs, 1 Powder Man",,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Razee Sloop,Manning of Guns,General,64-pdr,16 men,"106 cwt, 1 Powder Boy",,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Razee Sloop,Manning of Guns,General,8-in gun,14 men,"63 cwt, 1 Powder Boy",,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Razee Sloop,Manning of Guns,General,8-in gun,12 men,"55 cwt, 1 Powder Boy",,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Razee Sloop,Manning of Guns,General,32-pdr,12 men,"57 cwt, 1 Boy",,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Razee Sloop,Manning of Guns,General,32-pdr,10 men,"42 & 46 cwt, 1 Boy",,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Razee Sloop,Manning of Guns,General,32-pdr,8 men,"33 cwt, 1 Boy",,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Razee Sloop,Manning of Guns,General,32-pdr,6 men,"27 cwt, 1 Boy",,0006_service:mss:mss23044:mss23044-022:01:0229.jpg
Razee Sloop,Voyage Log,General,Marseilles,"November 15, 1852",Reached,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Marseilles,"November 27, 1852",Left,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Port Mahon,"November 28, 1852",Reached,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Port Mahon,"January 5, 1853",Left,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Barcelona,"January 8, 1853",Reached,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Barcelona,"March 4, 1853",Left,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Spezia,"March 11, 1853",Reached,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Spezia,"March 22, 1853",Left,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Leghorn,"March 24, 1853",Reached,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Leghorn,"April 9, 1853",Left,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Civita Vecchia,"April 11, 1853",Reached,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Civita Vecchia,"April 28, 1853",Left,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Leghorn,"April 29, 1853",Reached,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Leghorn,"May 2, 1853",Left,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Spezia,"May 3, 1853",Reached,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Spezia,"May 9, 1853",Left,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Piraeus,"May 21, 1853",Reached,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Piraeus,"June 25, 1853",Left,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Constantinople,"July 5, 1853",Reached,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Constantinople,"July 26, 1853",Left,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Bosphorous,"July 26, 1853",Reached,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Bosphorous,"August 5, 1853",Left,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Milo,"August 8, 1853",Reached,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Milo,"August 9, 1853",Left,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Tripoli,"August 16, 1853",Reached,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Tripoli,"August 16, 1853",Left,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Malta,"August 19, 1853",Reached,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Malta,"August 23, 1853",Left,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Anchored off Tenedos,"June 29, 1853",6:30 P.M.,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
Razee Sloop,Voyage Log,General,Anchored off the forts,"June 30, 1853",4:50 P.M.,,0007_service:mss:mss23044:mss23044-022:01:0230.jpg
